disease,age_group,n,Horvath_mean_accel,Horvath_std_accel,AltumAge_mean_accel,AltumAge_std_accel,DeepMAge_mean_accel,DeepMAge_std_accel,ResnetAge_mean_accel,ResnetAge_std_accel,PNA-GNN_mean_accel,PNA-GNN_std_accel,PNA-GNN+CNN_mean_accel,PNA-GNN+CNN_std_accel,PNA-GNN+Stat_mean_accel,PNA-GNN+Stat_std_accel,GraphAge_mean_accel_x,GraphAge_std_accel_x,GraphAge_mean_accel_y,GraphAge_std_accel_y
Ovarian Cancer,45-55,34,1.222,10.211,3.628,5.651,3.267,4.869,16.039,9.589,0.437,4.209,6.323,3.344,1.274,5.288,2.367,3.782,2.367,3.782
Ovarian Cancer,55-65,92,-4.197,6.545,-0.532,4.738,-1.078,5.162,11.208,8.868,-3.589,3.766,-0.766,4.134,-2.616,3.71,-2.379,3.588,-2.379,3.588
Ovarian Cancer,65-75,94,-7.096,6.385,-4.137,5.645,-3.801,7.39,7.32,6.284,-6.016,5.353,-7.494,5.702,-4.599,5.44,-5.541,4.898,-5.541,4.898
Ovarian Cancer,75-80,27,-10.222,17.989,-7.496,7.522,-6.201,6.085,0.562,9.366,-8.189,3.982,-14.048,4.524,-5.975,4.79,-7.977,3.133,-7.977,3.133
Ovarian Cancer,80+,19,-15.481,6.935,-13.654,7.673,-11.354,6.44,-1.632,7.675,-13.122,6.053,-18.116,4.124,-10.302,6.328,-13.378,5.439,-13.378,5.439
Schizophrenia,0-20,20,1.564,3.156,5.61,2.649,1.696,2.955,16.635,5.383,0.144,2.981,13.959,3.295,1.956,2.443,1.213,2.46,1.213,2.46
Schizophrenia,20-45,261,1.161,4.215,3.51,4.062,0.711,3.767,13.488,5.507,-2.45,3.724,8.393,4.349,-0.845,3.199,-0.929,3.572,-0.929,3.572
Schizophrenia,45-55,26,-2.598,4.054,-0.78,5.604,-1.647,4.189,4.799,5.443,-5.444,4.496,-1.542,4.748,-3.218,4.047,-4.542,3.879,-4.542,3.879
Schizophrenia,55-65,13,-4.025,2.101,-3.473,2.728,-2.768,3.461,4.173,8.719,-6.52,3.824,-4.488,3.132,-3.248,2.893,-5.389,2.597,-5.389,2.597
Schizophrenia,65-75,3,-9.299,4.925,-5.743,1.774,-6.654,6.635,-3.682,2.23,-8.612,1.663,-11.885,2.325,-6.101,1.667,-7.557,0.472,-7.557,0.472
Schizophrenia,75-80,2,-10.435,2.006,-8.102,0.799,-5.221,1.438,-6.776,5.518,-11.423,11.649,-16.552,4.076,-5.228,0.969,-10.059,8.356,-10.059,8.356
Schizophrenia,80+,1,-18.445,,-9.287,,-11.105,,-6.667,,-13.514,,-25.057,,-3.868,,-14.352,,-14.352,
Osteoporosis,0-20,73,8.992,10.796,8.639,9.518,0.541,5.738,25.54,7.417,-0.793,4.903,13.481,5.606,3.572,4.837,-0.984,5.834,-0.984,5.834
Osteoporosis,20-45,5,5.244,1.685,8.65,3.641,0.82,18.706,12.807,5.528,-3.739,16.733,6.237,12.363,-1.155,16.567,-2.21,17.613,-2.21,17.613
Osteoporosis,45-55,10,2.322,3.372,2.633,2.781,3.063,2.952,11.012,4.458,-4.686,4.283,1.97,4.186,-4.469,5.795,-3.198,3.876,-3.198,3.876
Osteoporosis,55-65,16,-1.986,2.718,-1.955,3.418,-2.898,2.355,4.537,4.026,-5.757,3.253,-5.582,4.385,-6.241,3.123,-5.265,2.379,-5.265,2.379
Osteoporosis,65-75,13,-3.832,3.476,-2.183,4.685,-5.15,3.116,-0.114,5.67,-6.346,3.448,-11.26,5.587,-5.35,5.756,-6.574,3.233,-6.574,3.233
Osteoporosis,75-80,10,-8.177,5.281,-7.958,5.731,-11.551,3.931,-4.978,4.561,-9.816,3.684,-21.109,3.393,-10.329,3.288,-10.93,3.615,-10.93,3.615
Osteoporosis,80+,3,-11.835,4.697,-11.955,10.669,-13.937,6.323,-9.233,12.182,-13.402,6.828,-26.587,4.572,-16.319,4.555,-15.288,8.263,-15.288,8.263
