epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
1,8.00e-05,778.280035,23.965908,778.280090,-0.113489,22.991661,695.954224,-0.016234,22.975861,699.088806,-0.016200
2,8.00e-05,737.311652,23.570484,737.311646,-0.054875,22.945704,692.369507,-0.010999,22.943241,695.649475,-0.011201
3,8.00e-05,743.125800,23.716810,743.125793,-0.063194,22.899908,689.444214,-0.006728,22.906704,692.935852,-0.007257
4,8.00e-05,734.494833,23.584332,734.494812,-0.050845,22.764341,678.071106,0.009879,22.847424,681.935181,0.008734
5,8.00e-05,731.239658,23.525270,731.239624,-0.046188,22.661879,673.823914,0.016081,22.704802,678.413269,0.013854
6,8.00e-05,710.762227,23.202108,710.762207,-0.016891,22.133087,639.972778,0.065511,22.199890,646.849060,0.059736
7,8.00e-05,502.789117,18.615143,502.789124,0.280657,8.087124,127.825172,0.813349,8.655467,144.526230,0.789916
8,8.00e-05,156.960616,8.723302,156.960617,0.775436,7.519991,120.016449,0.824752,8.104091,130.897369,0.809727
9,8.00e-05,127.228300,7.814253,127.228310,0.817974,6.127308,83.132774,0.878609,6.550558,90.991859,0.867734
10,8.00e-05,112.433003,7.278619,112.432999,0.839142,5.473360,68.466949,0.900024,5.768869,74.590385,0.891575
11,8.00e-05,102.560773,6.889929,102.560776,0.853266,5.292473,64.049995,0.906474,5.572495,68.493057,0.900438
12,8.00e-05,94.171311,6.622631,94.171310,0.865269,5.185174,61.590958,0.910065,5.461124,65.508545,0.904776
13,8.00e-05,89.574865,6.323300,89.574860,0.871845,4.787867,53.642658,0.921671,5.059367,59.359444,0.913715
14,8.00e-05,82.018373,6.101286,82.018372,0.882656,4.854591,53.955124,0.921215,5.066953,58.074448,0.915583
15,8.00e-05,78.010494,5.917595,78.010498,0.888390,4.700308,50.921711,0.925644,4.869488,53.886280,0.921670
16,8.00e-05,73.477998,5.690933,73.477997,0.894875,4.550362,48.277859,0.929505,4.738934,51.029030,0.925824
17,8.00e-05,70.012230,5.544572,70.012230,0.899833,4.649829,50.973396,0.925569,4.922060,57.239769,0.916796
18,8.00e-05,64.189409,5.321078,64.189407,0.908164,4.415746,46.585751,0.931975,4.699550,51.152065,0.925645
19,8.00e-05,63.177878,5.229702,63.177879,0.909611,4.108992,39.268391,0.942660,4.369581,43.320992,0.937028
20,8.00e-05,56.712265,5.069125,56.712265,0.918862,4.194511,39.964680,0.941643,4.432251,44.758888,0.934938
21,8.00e-05,55.417782,4.934417,55.417778,0.920713,4.048985,38.373425,0.943967,4.262373,42.673538,0.937969
22,8.00e-05,52.938054,4.822494,52.938057,0.924261,4.283329,43.103508,0.937060,4.514489,48.384842,0.929667
23,8.00e-05,52.281368,4.784929,52.281364,0.925201,4.309219,42.320183,0.938204,4.504989,48.174202,0.929974
24,8.00e-05,51.491935,4.746626,51.491936,0.926330,4.182013,41.118076,0.939959,4.411425,46.468250,0.932453
25,8.00e-05,49.211484,4.660948,49.211483,0.929593,3.982861,36.874241,0.946156,4.149582,41.419628,0.939792
26,8.00e-05,47.391052,4.529448,47.391052,0.932197,3.854060,35.187519,0.948619,4.038952,39.701942,0.942289
27,8.00e-05,48.070188,4.616628,48.070190,0.931226,4.269000,40.113098,0.941427,4.332292,44.916458,0.934709
28,8.00e-05,44.764869,4.438217,44.764870,0.935955,3.650862,31.016777,0.954709,3.813258,34.612030,0.949688
29,8.00e-05,43.910635,4.333827,43.910633,0.937177,3.792986,33.894970,0.950507,3.912899,37.634697,0.945294
30,8.00e-05,42.022668,4.224227,42.022667,0.939878,3.433441,28.855707,0.957865,3.631174,31.352270,0.954426
31,8.00e-05,43.433668,4.293516,43.433670,0.937859,3.595083,31.164530,0.954494,3.786278,34.511234,0.949834
32,8.00e-05,42.369748,4.232092,42.369747,0.939381,3.899659,35.484463,0.948186,4.043225,39.022530,0.943277
33,8.00e-05,39.745889,4.107794,39.745892,0.943135,4.031740,36.148869,0.947215,4.062346,39.974243,0.941893
34,8.00e-05,37.605139,4.002382,37.605141,0.946198,3.590640,30.283733,0.955780,3.728524,33.484638,0.951326
35,3.20e-05,36.739401,3.985105,36.739403,0.947437,4.248531,39.338680,0.942558,4.260473,42.572739,0.938116
36,3.20e-05,32.773843,3.692772,32.773846,0.953110,3.383800,27.394930,0.959998,3.473236,29.744572,0.956763
