epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
1,8.00e-05,787.490465,24.067049,787.490479,-0.126667,22.969732,692.926880,-0.011813,22.966555,696.016602,-0.011735
2,8.00e-05,740.443820,23.626801,740.443787,-0.059357,22.861498,684.012939,0.001203,22.933624,687.323914,0.000901
3,8.00e-05,738.670211,23.592821,738.670166,-0.056819,22.972036,696.770630,-0.017426,22.956005,700.164124,-0.017763
4,8.00e-05,733.461036,23.525433,733.461060,-0.049366,22.863987,689.499695,-0.006809,22.870283,693.304749,-0.007793
5,8.00e-05,728.129643,23.452358,728.129639,-0.041739,22.632406,673.383240,0.016724,22.671917,678.054626,0.014375
6,8.00e-05,700.324856,22.967800,700.324890,-0.001958,21.516045,599.294678,0.124909,21.605057,607.696045,0.116649
7,8.00e-05,321.142906,13.614668,321.142883,0.540539,7.027222,105.254539,0.846307,7.658631,119.206543,0.826720
8,8.00e-05,133.116911,7.984603,133.116913,0.809549,6.767109,98.612816,0.856005,7.200801,106.941704,0.844549
9,8.00e-05,113.139299,7.274909,113.139297,0.838131,6.555205,91.914085,0.865787,6.838315,95.653152,0.860958
10,8.00e-05,99.396250,6.775841,99.396248,0.857793,5.378434,64.985130,0.905109,5.651383,70.309669,0.897797
11,8.00e-05,88.658504,6.481480,88.658501,0.873156,6.135751,80.753189,0.882084,6.448476,82.239189,0.880457
12,8.00e-05,81.767464,6.161963,81.767464,0.883015,4.802565,53.270329,0.922215,5.132996,56.738876,0.917524
13,8.00e-05,73.763808,5.790624,73.763802,0.894466,4.426897,46.530586,0.932056,4.739500,50.589119,0.926463
14,8.00e-05,69.947262,5.672810,69.947258,0.899926,5.342321,61.524033,0.910163,5.696022,62.733150,0.908811
15,8.00e-05,67.053695,5.484859,67.053696,0.904066,4.188619,42.343391,0.938170,4.497678,45.056713,0.934505
16,8.00e-05,63.338133,5.341405,63.338139,0.909382,4.045542,40.024052,0.941557,4.281384,43.666264,0.936526
17,8.00e-05,60.832209,5.227046,60.832207,0.912967,4.658536,49.666443,0.927477,4.981234,50.169643,0.927073
18,8.00e-05,58.443934,5.130992,58.443932,0.916384,4.039590,38.719379,0.943462,4.278484,43.959469,0.936100
