epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
1,8.00e-05,788.553369,24.090126,788.553345,-0.128187,23.009108,696.617126,-0.017202,22.990891,699.626831,-0.016983
2,8.00e-05,740.139099,23.634100,740.139099,-0.058921,22.912384,688.130371,-0.004809,22.927982,691.345337,-0.004944
3,8.00e-05,732.906597,23.518103,732.906616,-0.048573,22.929848,694.644836,-0.014322,22.910477,698.160156,-0.014851
4,8.00e-05,725.022316,23.426901,725.022339,-0.037293,22.554125,670.430237,0.021037,22.574818,675.132568,0.018622
5,8.00e-05,592.519528,20.650423,592.519470,0.152279,9.638428,153.668137,0.775613,10.193402,172.950867,0.748597
6,8.00e-05,156.372433,8.783329,156.372437,0.776277,6.264912,86.070000,0.874320,6.654610,93.874916,0.863543
7,8.00e-05,118.612450,7.467435,118.612450,0.830301,6.128635,83.340843,0.878306,6.403380,86.946098,0.873615
8,8.00e-05,102.550601,6.900435,102.550598,0.853280,6.729434,94.628639,0.861823,7.013147,98.415726,0.856942
9,8.00e-05,93.286116,6.570821,93.286118,0.866535,5.449681,66.517189,0.902871,5.732462,69.543228,0.898911
10,8.00e-05,84.361409,6.233557,84.361404,0.879304,4.856891,53.609005,0.921720,5.086630,57.205151,0.916846
11,8.00e-05,76.885811,6.020805,76.885811,0.889999,5.219563,60.423935,0.911769,5.549830,62.114792,0.909710
12,8.00e-05,70.055124,5.697268,70.055130,0.899772,4.384699,45.130959,0.934100,4.620874,48.314072,0.929770
13,8.00e-05,64.661282,5.401206,64.661278,0.907489,4.294868,43.565929,0.936385,4.520175,46.314682,0.932677
14,8.00e-05,64.031116,5.435099,64.031120,0.908390,5.282464,60.054924,0.912308,5.560199,59.956337,0.912847
15,8.00e-05,62.577851,5.312130,62.577854,0.910470,4.151183,41.424809,0.939511,4.404178,42.832474,0.937738
16,8.00e-05,58.685959,5.133497,58.685959,0.916038,3.861738,37.505898,0.945234,4.125518,39.418510,0.942701
17,8.00e-05,57.853682,5.097739,57.853683,0.917228,4.863353,52.687355,0.923066,5.047018,51.861462,0.924614
18,8.00e-05,55.714282,4.992043,55.714283,0.920289,3.914635,36.208401,0.947128,4.164216,39.410889,0.942712
19,8.00e-05,51.170526,4.773441,51.170525,0.926790,3.980218,39.234306,0.942710,4.187223,39.066425,0.943213
20,8.00e-05,49.896561,4.747576,49.896561,0.928613,4.398179,45.751846,0.933193,4.680362,45.195827,0.934303
21,8.00e-05,49.792554,4.686212,49.792553,0.928762,3.671630,33.983017,0.950378,3.923432,35.483097,0.948422
22,8.00e-05,47.844183,4.557106,47.844181,0.931549,3.843186,36.689590,0.946426,4.123345,37.089371,0.946087
23,8.00e-05,44.963327,4.401922,44.963326,0.935671,3.554757,32.534924,0.952492,3.801947,34.009228,0.950564
24,8.00e-05,44.436470,4.395112,44.436466,0.936424,3.632784,33.554531,0.951004,3.822401,34.378014,0.950028
25,8.00e-05,43.239043,4.283451,43.239040,0.938138,3.546617,32.803112,0.952101,3.730938,33.643173,0.951096
26,8.00e-05,44.954284,4.420188,44.954285,0.935684,3.517339,31.751795,0.953636,3.779817,32.697937,0.952470
27,8.00e-05,40.991875,4.190580,40.991875,0.941353,3.593409,32.814373,0.952084,3.826165,33.312382,0.951577
28,8.00e-05,39.152905,4.157429,39.152905,0.943984,3.649604,33.386036,0.951250,3.805200,34.126202,0.950394
29,8.00e-05,38.694823,4.102491,38.694824,0.944639,3.933904,37.985687,0.944533,4.170501,37.797440,0.945057
30,8.00e-05,36.395830,3.962671,36.395828,0.947928,3.648351,33.275669,0.951411,3.898161,33.539345,0.951247
31,8.00e-05,36.222792,3.967589,36.222790,0.948176,3.506111,30.225229,0.955865,3.533355,30.392391,0.955821
32,8.00e-05,35.830742,3.964799,35.830742,0.948737,3.506628,31.442419,0.954088,3.681534,31.497753,0.954215
33,8.00e-05,35.424666,3.944309,35.424667,0.949318,3.434030,29.803324,0.956481,3.475057,29.544121,0.957054
34,8.00e-05,32.665216,3.759237,32.665218,0.953266,3.463230,30.831388,0.954980,3.478577,29.837397,0.956628
35,8.00e-05,32.104461,3.744583,32.104462,0.954068,3.475738,31.668161,0.953758,3.613989,30.071444,0.956288
36,8.00e-05,31.551847,3.680840,31.551847,0.954859,4.389452,45.780609,0.933151,4.577421,42.460938,0.938278
37,8.00e-05,29.538159,3.602741,29.538158,0.957740,3.489640,31.470964,0.954046,3.620204,30.253281,0.956024
38,8.00e-05,30.316209,3.613594,30.316210,0.956626,3.417593,30.147556,0.955978,3.652930,30.250845,0.956027
39,8.00e-05,28.891277,3.503809,28.891277,0.958665,3.402816,29.943300,0.956277,3.424455,28.131849,0.959107
40,8.00e-05,27.954709,3.452071,27.954706,0.960005,3.544709,33.605133,0.950930,3.737794,30.788778,0.955245
41,8.00e-05,25.511750,3.320082,25.511749,0.963500,3.948201,39.540703,0.942263,4.121820,36.104767,0.947518
42,8.00e-05,25.905345,3.318469,25.905346,0.962937,3.384440,28.942760,0.957738,3.419966,27.917431,0.959419
43,8.00e-05,26.177159,3.362175,26.177160,0.962548,3.369173,29.680433,0.956661,3.538565,29.267227,0.957457
44,8.00e-05,24.586614,3.300787,24.586613,0.964824,3.391985,30.626558,0.955279,3.379887,27.495375,0.960033
45,8.00e-05,23.797855,3.225902,23.797855,0.965952,3.329707,28.334465,0.958626,3.253682,26.688059,0.961206
46,8.00e-05,23.341292,3.169367,23.341291,0.966605,3.396581,30.202333,0.955899,3.427359,27.658901,0.959795
47,8.00e-05,21.368019,3.065192,21.368019,0.969429,3.413375,30.455059,0.955529,3.346194,27.778755,0.959621
48,8.00e-05,21.991077,3.057164,21.991076,0.968537,3.472587,31.620108,0.953828,3.348408,27.943571,0.959381
49,8.00e-05,20.934121,2.953986,20.934122,0.970049,3.287396,27.575169,0.959735,3.247372,26.386761,0.961644
50,8.00e-05,19.696786,2.925192,19.696785,0.971820,3.507568,33.113068,0.951648,3.559297,28.718590,0.958254
51,8.00e-05,19.283243,2.859147,19.283243,0.972411,3.370169,29.900486,0.956339,3.270646,26.045456,0.962140
52,8.00e-05,18.707130,2.837133,18.707129,0.973236,3.362505,30.283945,0.955779,3.290942,26.967871,0.960799
53,8.00e-05,18.167184,2.791748,18.167185,0.974008,3.592831,31.525747,0.953966,3.713364,31.603121,0.954062
54,3.20e-05,18.419706,2.851010,18.419706,0.973647,3.467519,30.869375,0.954924,3.307292,27.395842,0.960177
55,3.20e-05,15.585487,2.644388,15.585487,0.977702,3.342018,29.711685,0.956615,3.298214,26.225941,0.961878
56,3.20e-05,14.238633,2.522324,14.238634,0.979629,3.257561,29.374146,0.957108,3.191799,25.559677,0.962846
57,3.20e-05,14.105092,2.500294,14.105093,0.979820,3.340780,29.648020,0.956708,3.237695,26.156628,0.961979
58,3.20e-05,13.663965,2.462368,13.663965,0.980451,3.339946,30.317251,0.955731,3.199878,25.896683,0.962356
59,3.20e-05,12.682995,2.356339,12.682996,0.981854,3.289095,29.378960,0.957101,3.250093,26.645950,0.961267
60,3.20e-05,12.809898,2.346229,12.809898,0.981673,3.415957,30.624546,0.955282,3.262870,27.026781,0.960714
61,1.28e-05,12.565746,2.346801,12.565746,0.982022,3.333381,30.059008,0.956108,3.261594,26.351252,0.961696
62,1.28e-05,11.340245,2.238988,11.340244,0.983775,3.318704,29.720448,0.956602,3.215176,26.465694,0.961529
