epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
1,8.00e-05,780.069706,23.979603,780.069702,-0.116050,22.962357,693.126831,-0.012105,22.956898,696.303406,-0.012152
2,8.00e-05,739.938745,23.569860,739.938721,-0.058634,22.912228,689.243347,-0.006434,22.920185,692.583252,-0.006744
3,8.00e-05,742.991185,23.672159,742.991150,-0.063001,22.902969,690.969360,-0.008955,22.904539,694.541321,-0.009590
4,8.00e-05,735.392756,23.566975,735.392761,-0.052130,22.744059,677.055115,0.011363,22.812901,681.069336,0.009993
5,8.00e-05,729.704921,23.479361,729.704895,-0.043992,22.582729,669.704773,0.022096,22.628368,674.706665,0.019242
6,8.00e-05,696.338229,22.935768,696.338257,0.003745,21.531885,597.701172,0.127236,21.605658,606.606079,0.118233
7,8.00e-05,355.234047,14.624660,355.234039,0.491765,7.168383,108.794624,0.841138,7.800972,123.258080,0.820831
8,8.00e-05,139.527847,8.111071,139.527847,0.800377,7.406850,116.304596,0.830172,7.900442,125.374611,0.817755
9,8.00e-05,113.793182,7.273296,113.793175,0.837196,6.351033,88.430313,0.870874,6.674026,95.138550,0.861706
10,8.00e-05,103.094567,6.874531,103.094574,0.852502,5.237905,63.215862,0.907692,5.494794,68.497993,0.900431
11,8.00e-05,94.821938,6.539873,94.821938,0.864338,5.239758,62.365280,0.908934,5.543537,66.554970,0.903255
12,8.00e-05,84.864975,6.267940,84.864983,0.878583,4.691030,50.006252,0.926981,4.929225,54.376820,0.920957
13,8.00e-05,74.766721,5.796649,74.766716,0.893031,5.131603,57.781269,0.915628,5.384871,58.473667,0.915002
14,8.00e-05,69.563722,5.589613,69.563721,0.900475,5.064336,55.230373,0.919353,5.245197,54.699818,0.920488
15,8.00e-05,65.157157,5.404462,65.157166,0.906779,4.531883,46.536526,0.932047,4.783609,47.589809,0.930823
16,8.00e-05,64.237122,5.351429,64.237122,0.908096,4.251952,42.630470,0.937751,4.519365,42.777660,0.937818
17,8.00e-05,60.756676,5.203604,60.756676,0.913075,4.240089,42.789757,0.937518,4.394844,46.263885,0.932750
18,8.00e-05,56.188610,5.042689,56.188610,0.919611,3.891651,37.746578,0.944882,4.195849,39.192635,0.943029
19,8.00e-05,56.639741,4.941672,56.639744,0.918965,3.647275,33.788181,0.950662,3.943712,35.681477,0.948133
20,8.00e-05,53.328391,4.886079,53.328388,0.923703,3.696962,34.118008,0.950181,3.999800,36.348679,0.947163
21,8.00e-05,53.137494,4.820556,53.137493,0.923976,3.609566,33.665554,0.950841,3.909357,35.106682,0.948969
22,8.00e-05,51.795944,4.775846,51.795940,0.925895,3.775798,34.786819,0.949204,3.901997,37.548656,0.945419
23,8.00e-05,48.561574,4.616091,48.561573,0.930523,4.342235,42.758900,0.937563,4.397277,46.819252,0.931943
24,8.00e-05,47.626175,4.557964,47.626175,0.931861,4.231038,40.961578,0.940188,4.294657,44.811508,0.934862
25,8.00e-05,46.268784,4.521689,46.268784,0.933803,3.521551,30.756191,0.955090,3.697074,33.598969,0.951160
26,8.00e-05,44.322882,4.369616,44.322884,0.936587,3.512904,30.712841,0.955153,3.643030,33.197384,0.951744
27,8.00e-05,45.155524,4.426971,45.155525,0.935396,4.087940,37.580494,0.945125,4.074170,41.197887,0.940114
28,8.00e-05,43.401389,4.363078,43.401394,0.937905,3.531342,29.978035,0.956226,3.625113,33.075054,0.951922
29,8.00e-05,40.648132,4.186913,40.648132,0.941845,3.691412,32.704296,0.952245,3.704851,35.033577,0.949075
30,8.00e-05,39.840672,4.110782,39.840672,0.943000,3.439431,28.627533,0.958198,3.525337,31.363014,0.954410
31,8.00e-05,40.462436,4.152864,40.462437,0.942110,3.641821,31.589840,0.953872,3.740042,34.207581,0.950276
32,8.00e-05,39.868486,4.113709,39.868488,0.942960,3.404449,28.387980,0.958548,3.559988,30.873724,0.955122
33,8.00e-05,38.207118,3.992442,38.207115,0.945337,3.338242,26.913561,0.960701,3.502092,29.627413,0.956933
34,8.00e-05,35.241587,3.882051,35.241589,0.949580,3.668456,30.277767,0.955788,3.706730,33.996384,0.950583
35,8.00e-05,34.391504,3.844854,34.391502,0.950796,4.868356,47.437737,0.930731,4.858552,51.665756,0.924898
36,8.00e-05,34.910800,3.884371,34.910801,0.950053,3.354617,27.410845,0.959975,3.345183,27.805841,0.959581
37,8.00e-05,33.609414,3.829303,33.609413,0.951915,4.388516,40.380257,0.941037,4.321136,43.910553,0.936171
38,3.20e-05,33.992776,3.853262,33.992775,0.951366,3.622030,30.503880,0.955458,3.623601,32.554996,0.952678
39,3.20e-05,28.514871,3.456378,28.514870,0.959204,3.308098,26.578426,0.961190,3.313693,27.950050,0.959372
40,3.20e-05,27.166346,3.360615,27.166346,0.961133,3.318662,26.170868,0.961785,3.297949,27.352566,0.960240
41,3.20e-05,26.474032,3.341644,26.474033,0.962123,3.266109,25.777866,0.962359,3.270774,26.512070,0.961462
42,3.20e-05,25.996238,3.319176,25.996237,0.962807,3.409477,27.182896,0.960307,3.325708,28.328295,0.958822
43,3.20e-05,24.705789,3.241184,24.705790,0.964653,3.441235,27.922445,0.959228,3.375379,29.443653,0.957200
44,3.20e-05,24.838512,3.251286,24.838512,0.964463,3.317089,26.017160,0.962010,3.254836,25.914032,0.962331
45,3.20e-05,25.387196,3.295467,25.387197,0.963678,3.281909,25.454805,0.962831,3.238819,26.511770,0.961462
46,1.28e-05,25.169517,3.263092,25.169516,0.963990,3.549299,28.554052,0.958305,3.413156,30.095854,0.956252
47,1.28e-05,22.508672,3.094208,22.508673,0.967797,3.348272,26.513138,0.961285,3.265007,27.629753,0.959837
48,1.28e-05,21.163141,2.972288,21.163141,0.969722,3.486072,27.945372,0.959194,3.354226,29.134890,0.957649
49,1.28e-05,20.971817,2.975624,20.971817,0.969995,3.290100,25.713535,0.962453,3.240923,26.547609,0.961410
50,1.28e-05,20.854901,2.999545,20.854900,0.970163,3.449605,27.566568,0.959747,3.349326,28.942345,0.957929
51,5.12e-06,21.482467,3.032690,21.482466,0.969265,3.380020,26.490553,0.961318,3.270172,27.500904,0.960024
52,5.12e-06,20.139213,2.852905,20.139212,0.971187,3.493463,28.165976,0.958872,3.362089,29.097517,0.957704
53,5.12e-06,19.822641,2.838388,19.822639,0.971640,3.553395,28.936554,0.957747,3.404420,29.784082,0.956706
54,5.12e-06,18.962765,2.819387,18.962765,0.972870,3.477311,28.125576,0.958931,3.360085,28.931519,0.957945
55,5.12e-06,18.583397,2.777928,18.583397,0.973413,3.567009,29.178238,0.957394,3.421928,30.065527,0.956297
56,2.05e-06,19.101338,2.839828,19.101337,0.972672,3.504485,28.411854,0.958513,3.376183,29.270277,0.957453
57,2.05e-06,18.421573,2.774626,18.421572,0.973644,3.442224,27.632799,0.959651,3.323303,28.344505,0.958798
58,2.05e-06,19.271246,2.828654,19.271248,0.972429,3.374771,26.854877,0.960786,3.277887,27.710039,0.959720
59,2.05e-06,19.593591,2.858928,19.593592,0.971967,3.491359,28.335203,0.958625,3.359123,29.077955,0.957732
60,2.05e-06,18.887832,2.762974,18.887833,0.972977,3.387079,26.999491,0.960575,3.272624,27.624737,0.959844
61,8.19e-07,17.975854,2.739815,17.975855,0.974282,3.386766,27.129477,0.960386,3.278893,27.681961,0.959761
62,8.19e-07,18.424654,2.773845,18.424654,0.973640,3.394635,27.257734,0.960198,3.284032,27.825262,0.959553
63,8.19e-07,17.645511,2.700786,17.645512,0.974754,3.386066,27.101757,0.960426,3.272287,27.612532,0.959862
64,8.19e-07,18.492075,2.823076,18.492075,0.973543,3.386288,27.219505,0.960254,3.285528,27.851408,0.959515
65,8.19e-07,18.125073,2.734639,18.125072,0.974068,3.373077,27.068918,0.960474,3.272996,27.670446,0.959778
66,3.28e-07,17.545787,2.718710,17.545786,0.974897,3.384772,27.116125,0.960405,3.278070,27.738451,0.959679
