CpG_site,Gene,Slope,Mean_Importance
cg22082462,CPNE6,-0.005340905256948298,0.20576888
cg25125453,C20orf38,-0.005230305958809197,0.18037078
cg03270167,RAMP1,-0.004725396726981947,0.1507149
cg20541456,CYFIP2,-0.004652775357370708,0.10929823
cg19339848,MTO1,-0.004606775977441626,0.13811192
cg08529529,ALOX5AP,-0.004371022808319776,0.16974172
cg21016177,EXOC7,-0.00434969029105691,0.3158101
cg25912611,STK6,-0.004067456236769153,0.20358276
cg03852144,GLRX,-0.004035214320086014,0.2239147
cg24899750,SNRPB2,-0.003994816791984148,0.22907165
