CpG_site,Gene,Slope,Mean_Importance
cg23090824,PDE7B,0.004259338251555522,0.31491116
cg00425710,MT1A,0.003744989188121326,0.26401964
cg00725635,B3GALT2,0.003638909103273457,0.3183216
cg26282150,GNAI3,0.003610066522156226,0.38913727
cg12145907,PCDHGC4,0.003309003889456144,0.42101434
cg22459146,GHSR,0.003186330198668621,0.39840934
cg00585790,LIMS1,0.0031725687000015096,0.38426426
cg03760483,ALOX12,0.003103582592617199,0.17595105
cg23684521,SDFR1,0.0030676019972766476,0.38750958
cg15207619,CAB39L,0.0030661628112014427,0.35186073
