Rank,CpG_site,Gene,Mean_Importance,Slope,Trend,Methylation,Meth_Slope,Age_Group_0_Imp,Age_Group_20_45,Age_Group_65_75,Age_Group_80plus
1,cg01428678,GPHN,0.52705777,-0.00022802236174395313,down,hyper,0.00013241305162955838,0.5577532643119231,0.5051310817400615,0.5326388949571654,0.49940707385540006
2,cg07498879,OSM,0.5247858,-0.0014553427576608942,down,hypo,-0.0007539866152593918,0.608877619173353,0.5053200907650448,0.49066604777824047,0.4716489613056183
3,cg25989745,TYRP1,0.5229667,-0.0009458443285831696,down,hypo,-0.00020622103097594932,0.5900860997225275,0.4999131171476273,0.5114347085703251,0.5276525259017945
4,cg02224164,ARHGAP9,0.5221437,-0.0008507815538993091,down,hypo,-0.0010034997383281744,0.587959936912486,0.49035947720209755,0.5154148042201996,0.5133146643638611
5,cg09649610,GNG4,0.5219272,-0.0007296353870723547,down,hyper,0.000203178217271761,0.5771273441662063,0.4988831931636447,0.5119274826936944,0.4934352606534958
6,cg23759710,OXER1,0.5218804,-0.0004896332571273484,down,hypo,-0.0011536923241928705,0.5581555013230305,0.5048184980948766,0.5186023227004117,0.5192348062992096
7,cg03560090,MGC10433,0.52110696,-0.00030381625096338554,down,hypo,-1.264796931240781e-05,0.5528979504740001,0.5013888028405962,0.5242082213246545,0.5260900169610977
8,cg01680823,TCAP,0.52110577,-0.0014360360137387555,down,hypo,-0.0006062905560980272,0.5981160915450544,0.5024585278261275,0.48950377938359285,0.4816116601228714
9,cg01796228,LIFR,0.52089447,-0.0003272377834511263,down,hypo,-0.0006570242826233306,0.5591210606477118,0.5003151765891484,0.5197864334250606,0.5355136334896088
10,cg02630105,PRKCD,0.52062255,-0.0006088600427100588,down,hyper,9.191234957200722e-05,0.5613575413921811,0.4996299038330714,0.5032905004052228,0.48991272449493406
11,cg06649520,ARFIP1,0.5204212,-0.0001435005019416998,down,hypo,-3.623996809237013e-05,0.5454402925162916,0.4961323794864473,0.5278058786724888,0.5419231832027436
12,cg21772838,CSTF1,0.5200713,-0.0011633315624024327,down,hypo,-5.230208614320424e-06,0.5959376197382314,0.49358260461262293,0.49589815077393556,0.5158035099506378
13,cg26563737,PCOLN3,0.5197898,-0.0009413065090694191,down,hyper,9.459923925608793e-05,0.5876601898907036,0.49103373076234547,0.5144581153642299,0.5156046628952027
14,cg02641676,SLC20A2,0.5196845,-0.0012681019300353914,down,hypo,-0.0006291002657912875,0.5862981392847781,0.5052674134572347,0.49399017144081203,0.4797875225543976
15,cg11093356,DDX19A,0.5196601,-0.0008172149523087022,down,hypo,-9.627729348550315e-05,0.5791397173673112,0.4952834858780816,0.5120296052028966,0.5269247174263001
16,cg23364287,IHPK2,0.5195215,-0.0004256703638881225,down,hypo,-2.296375621047819e-05,0.5650679052665534,0.48756571951366606,0.5269652431787446,0.5481691300868988
17,cg24861272,TCF8,0.51925105,-0.00135815050237368,down,hypo,-0.0005612842954472324,0.5952946958162927,0.5025468129487265,0.48658180687316627,0.47966868579387667
18,cg11010122,DNAJB14,0.51924264,-0.0003899596721775856,down,hypo,-0.0011871610691713032,0.5510127234537869,0.5041071711551576,0.5236647735501445,0.5253101319074631
19,cg08706258,WSB1,0.5189689,-0.0007457696129737578,down,hypo,-0.00014632158518004365,0.5721533187967263,0.49650458679312753,0.5096238501543222,0.529035148024559
20,cg18109798,SLCO1C1,0.518804,-0.0006976310922894782,down,hypo,-0.0003815483991602465,0.5735709264578409,0.4970224679935546,0.5126363804867101,0.5340245276689529
21,cg03330516,SRMS,0.5185861,-0.0005317796051561802,down,hyper,0.0004447253048510633,0.560482596324769,0.49991803893021175,0.5082201330467712,0.5000672608613967
22,cg26207503,MYF5,0.51856965,-0.0005954316948120734,down,hyper,0.0008407605906777053,0.5693019302870264,0.4937675761325019,0.5270529160665911,0.5415216296911239
23,cg21784940,REPIN1,0.5185452,-0.0007878482238015377,down,hypo,-0.00013146835273204844,0.5846917471348845,0.4868039880480085,0.509453498346861,0.5279452413320541
